ano,delegacao,nivel_renda,media_gdp,total_medalhas,qtd_paises
2008,BEN,Baixa Renda,2777,0,1
2004,BEN,Baixa Renda,2672,0,1
1996,CHN,Baixa Renda,3055,105,1
1996,CMR,Baixa Renda,3577,0,1
2008,COM,Baixa Renda,2473,0,1
2000,COM,Baixa Renda,2408,0,1
2012,COM,Baixa Renda,2868,0,1
2016,COM,Baixa Renda,3127,0,1
2004,COM,Baixa Renda,2422,0,1
1996,CPV,Baixa Renda,3022,0,1
2000,FSM,Baixa Renda,3611,0,1
2008,FSM,Baixa Renda,3669,0,1
2004,FSM,Baixa Renda,3656,0,1
1996,GHA,Baixa Renda,3106,0,1
2004,GHA,Baixa Renda,3607,0,1
2000,GHA,Baixa Renda,3327,0,1
1992,GHA,Baixa Renda,2897,8,1
2000,IND,Baixa Renda,3099,1,1
1992,IND,Baixa Renda,2249,0,1
2004,IND,Baixa Renda,3656,1,1
1996,IND,Baixa Renda,2680,1,1
2000,KGZ,Baixa Renda,3638,1,1
1996,KGZ,Baixa Renda,3138,0,1
2016,KIR,Baixa Renda,2761,0,1
2004,KIR,Baixa Renda,2199,0,1
2012,KIR,Baixa Renda,2242,0,1
2000,LAO,Baixa Renda,2899,0,1
2004,LAO,Baixa Renda,3441,0,1
1996,LAO,Baixa Renda,2473,0,1
2016,MLI,Baixa Renda,2759,0,1
2008,MLI,Baixa Renda,2474,0,1
2012,MLI,Baixa Renda,2523,0,1
2004,MLI,Baixa Renda,2224,0,1
1996,PAK,Baixa Renda,3526,0,1
2000,PAK,Baixa Renda,3531,0,1
1992,PAK,Baixa Renda,3404,13,1
2008,PNG,Baixa Renda,3233,0,1
2000,PNG,Baixa Renda,3326,0,1
1992,PNG,Baixa Renda,3690,0,1
2012,PNG,Baixa Renda,3577,0,1
2004,PNG,Baixa Renda,3046,0,1
2016,RWA,Baixa Renda,2316,0,1
2008,SEN,Baixa Renda,3359,0,1
2004,SEN,Baixa Renda,3240,0,1
2012,SEN,Baixa Renda,3405,0,1
2000,SEN,Baixa Renda,3093,0,1
2016,SEN,Baixa Renda,3710,0,1
1996,SEN,Baixa Renda,2822,0,1
1992,SEN,Baixa Renda,2874,0,1
2004,SLE,Baixa Renda,2262,0,1
2008,SLE,Baixa Renda,2406,0,1
1992,SLE,Baixa Renda,2259,0,1
2012,SLE,Baixa Renda,2795,0,1
2016,SLE,Baixa Renda,2734,0,1
2016,TJK,Baixa Renda,3169,1,1
2008,TJK,Baixa Renda,2308,2,1
2012,TJK,Baixa Renda,2700,1,1
2008,TLS,Baixa Renda,3532,0,1
2004,TLS,Baixa Renda,3236,0,1
2012,TUV,Baixa Renda,3558,0,1
2016,UGA,Baixa Renda,2554,0,1
2012,UGA,Baixa Renda,2405,1,1
2000,UZB,Baixa Renda,3410,4,1
1996,UZB,Baixa Renda,3046,2,1
2012,ALB,Média Renda,12292,0,1
1992,ALB,Média Renda,3760,0,1
2004,ALB,Média Renda,8482,0,1
2000,ALB,Média Renda,6581,0,1
2008,ALB,Média Renda,11055,0,1
2016,ALB,Média Renda,13692,0,1
1996,ALB,Média Renda,5563,0,1
1996,AND,Média Renda,46386,0,1
1992,AND,Média Renda,45246,0,1
1992,ARG,Média Renda,19476,2,1
1996,ARG,Média Renda,21695,19,1
2000,ARG,Média Renda,22281,20,1
2012,ARG,Média Renda,28825,19,1
2016,ARG,Média Renda,27802,21,1
2004,ARG,Média Renda,21591,49,1
2008,ARG,Média Renda,27658,51,1
2012,ARM,Média Renda,11796,3,1
2008,ARM,Média Renda,11727,6,1
2000,ARM,Média Renda,4589,1,1
2004,ARM,Média Renda,7299,0,1
2016,ARM,Média Renda,13192,4,1
1996,AUS,Média Renda,39592,131,1
2000,AUS,Média Renda,45013,179,1
2008,AUS,Média Renda,52351,147,1
1992,AUS,Média Renda,35364,57,1
2004,AUS,Média Renda,48980,153,1
1996,AUT,Média Renda,47666,3,1
1992,AUT,Média Renda,44789,6,1
2000,AUT,Média Renda,53599,4,1
2008,AZE,Média Renda,17963,7,1
2000,AZE,Média Renda,5656,3,1
2012,AZE,Média Renda,19523,10,1
1996,AZE,Média Renda,4223,1,1
2016,AZE,Média Renda,19822,18,1
2004,AZE,Média Renda,7937,5,1
2004,BEL,Média Renda,53430,3,1
1992,BEL,Média Renda,42737,3,1
1996,BEL,Média Renda,44828,6,1
2000,BEL,Média Renda,50477,7,1
2004,BIH,Média Renda,9341,0,1
2008,BIH,Média Renda,11979,0,1
2012,BIH,Média Renda,12622,0,1
1996,BIH,Média Renda,4567,0,1
2000,BIH,Média Renda,7827,0,1
2016,BIH,Média Renda,14873,0,1
2008,BLR,Média Renda,22137,29,1
2004,BLR,Média Renda,15052,15,1
1996,BLR,Média Renda,8314,22,1
2000,BLR,Média Renda,11182,22,1
2012,BLR,Média Renda,25879,23,1
2016,BLR,Média Renda,24846,12,1
2012,BOL,Média Renda,8108,0,1
1996,BOL,Média Renda,5810,0,1
2008,BOL,Média Renda,7272,0,1
2016,BOL,Média Renda,9390,0,1
2000,BOL,Média Renda,6146,0,1
1992,BOL,Média Renda,5261,0,1
2004,BOL,Média Renda,6407,0,1
1996,BRA,Média Renda,13641,62,1
2008,BRA,Média Renda,17113,76,1
2004,BRA,Média Renda,14911,40,1
2012,BRA,Média Renda,18832,56,1
1992,BRA,Média Renda,12271,14,1
2000,BRA,Média Renda,14005,48,1
2016,BRA,Média Renda,17620,49,1
1996,CAN,Média Renda,41880,48,1
2000,CAN,Média Renda,48399,29,1
2012,CAN,Média Renda,54034,54,1
2008,CAN,Média Renda,53711,33,1
2004,CAN,Média Renda,51210,17,1
1992,CAN,Média Renda,39023,42,1
2012,CHN,Média Renda,12217,122,1
2008,CHN,Média Renda,8743,181,1
2016,CHN,Média Renda,15772,112,1
2000,CHN,Média Renda,4066,79,1
2004,CHN,Média Renda,5684,93,1
2012,CIV,Média Renda,4234,0,1
2004,CIV,Média Renda,4088,0,1
1992,CIV,Média Renda,4843,0,1
2008,CIV,Média Renda,4096,0,1
2016,CIV,Média Renda,5320,2,1
2000,CIV,Média Renda,4838,0,1
1996,CIV,Média Renda,4807,0,1
2016,CMR,Média Renda,4767,0,1
1992,CMR,Média Renda,3974,0,1
2008,CMR,Média Renda,4300,1,1
2004,CMR,Média Renda,4222,1,1
2000,CMR,Média Renda,3822,18,1
2012,CMR,Média Renda,4382,0,1
2012,COL,Média Renda,15279,8,1
2008,COL,Média Renda,13591,2,1
2016,COL,Média Renda,17003,8,1
2004,COL,Média Renda,11607,2,1
2000,COL,Média Renda,10813,1,1
1996,COL,Média Renda,11303,0,1
1992,COL,Média Renda,10196,1,1
2000,CPV,Média Renda,4510,0,1
2012,CPV,Média Renda,7397,0,1
2008,CPV,Média Renda,7169,0,1
2016,CPV,Média Renda,7881,0,1
2004,CPV,Média Renda,5268,0,1
2016,CYP,Média Renda,40209,0,1
1992,CYP,Média Renda,28932,0,1
1996,CYP,Média Renda,31283,0,1
2000,CYP,Média Renda,36122,0,1
2004,CYP,Média Renda,40021,0,1
2012,CYP,Média Renda,39191,1,1
2008,CYP,Média Renda,44296,0,1
2004,CZE,Média Renda,33452,13,1
2008,CZE,Média Renda,40328,7,1
2012,CZE,Média Renda,39347,14,1
2000,CZE,Média Renda,29427,9,1
2016,CZE,Média Renda,43069,15,1
1996,CZE,Média Renda,28021,13,1
2016,DJI,Média Renda,5226,0,1
2004,DMA,Média Renda,14962,0,1
2016,DMA,Média Renda,17364,0,1
2012,DMA,Média Renda,17431,0,1
2000,DMA,Média Renda,14054,0,1
2008,DMA,Média Renda,17738,0,1
1996,DMA,Média Renda,12737,0,1
1996,DOM,Média Renda,9036,0,1
1992,DOM,Média Renda,7900,0,1
2004,DOM,Média Renda,11131,1,1
2016,DOM,Média Renda,18968,1,1
2000,DOM,Média Renda,10896,0,1
2008,DOM,Média Renda,14030,2,1
2012,DOM,Média Renda,15487,2,1
2016,ECU,Média Renda,13586,0,1
2008,ECU,Média Renda,11474,1,1
1992,ECU,Média Renda,9291,0,1
2004,ECU,Média Renda,10290,0,1
1996,ECU,Média Renda,9509,1,1
2000,ECU,Média Renda,9183,0,1
2012,ECU,Média Renda,12961,0,1
2016,EGY,Média Renda,13727,3,1
2012,EGY,Média Renda,13076,2,1
2004,EGY,Média Renda,10451,5,1
1992,EGY,Média Renda,8034,0,1
2000,EGY,Média Renda,9981,0,1
1996,EGY,Média Renda,8662,0,1
2008,EGY,Média Renda,12391,1,1
2012,ESP,Média Renda,41034,61,1
1992,ESP,Média Renda,32641,59,1
1996,ESP,Média Renda,34232,64,1
2000,ESP,Média Renda,39945,41,1
2004,ESP,Média Renda,42793,29,1
2008,ESP,Média Renda,44926,69,1
2016,ESP,Média Renda,44274,45,1
2004,EST,Média Renda,27665,3,1
2016,EST,Média Renda,37854,4,1
1996,EST,Média Renda,15828,0,1
1992,EST,Média Renda,14371,2,1
2012,EST,Média Renda,34115,2,1
2000,EST,Média Renda,20739,3,1
2008,EST,Média Renda,34588,3,1
2012,FIN,Média Renda,53957,5,1
2000,FIN,Média Renda,46968,5,1
1996,FIN,Média Renda,38301,4,1
2004,FIN,Média Renda,51494,2,1
1992,FIN,Média Renda,34926,7,1
2016,FIN,Média Renda,53984,1,1
2000,FRA,Média Renda,45922,66,1
2008,FRA,Média Renda,50068,77,1
1992,FRA,Média Renda,39331,57,1
1996,FRA,Média Renda,40990,51,1
2012,FRA,Média Renda,49935,82,1
2004,FRA,Média Renda,47720,53,1
2016,FRA,Média Renda,50984,95,1
2016,FSM,Média Renda,3794,0,1
2012,FSM,Média Renda,3878,0,1
2000,GAB,Média Renda,21717,0,1
2012,GAB,Média Renda,19450,1,1
1996,GAB,Média Renda,24595,0,1
2004,GAB,Média Renda,20438,0,1
2016,GAB,Média Renda,19988,0,1
2008,GAB,Média Renda,18493,0,1
1992,GAB,Média Renda,23268,0,1
2016,GBR,Média Renda,50540,141,1
2012,GBR,Média Renda,47550,124,1
2000,GBR,Média Renda,43247,54,1
1992,GBR,Média Renda,33868,50,1
2004,GBR,Média Renda,46853,57,1
2008,GBR,Média Renda,48963,81,1
1996,GBR,Média Renda,37531,26,1
2000,GEO,Média Renda,5706,6,1
2016,GEO,Média Renda,15442,7,1
2008,GEO,Média Renda,10856,6,1
1996,GEO,Média Renda,4339,2,1
2012,GEO,Média Renda,13193,7,1
2004,GEO,Média Renda,7693,4,1
2012,GHA,Média Renda,5339,0,1
2016,GHA,Média Renda,5666,0,1
2008,GHA,Média Renda,4174,0,1
1992,GUY,Média Renda,5799,0,1
2000,GUY,Média Renda,8025,0,1
1996,GUY,Média Renda,7612,0,1
2008,GUY,Média Renda,9546,0,1
2004,GUY,Média Renda,8404,0,1
2016,GUY,Média Renda,12420,0,1
2012,GUY,Média Renda,11534,0,1
1992,HKG,Média Renda,34895,0,1
2004,HKG,Média Renda,44836,2,1
1996,HKG,Média Renda,37804,1,1
2000,HKG,Média Renda,39848,0,1
1996,HUN,Média Renda,19029,41,1
2016,HUN,Média Renda,32378,22,1
2008,HUN,Média Renda,29384,26,1
2012,HUN,Média Renda,28179,26,1
2004,HUN,Média Renda,26568,37,1
2000,HUN,Média Renda,22117,50,1
1992,HUN,Média Renda,18197,44,1
2008,IND,Média Renda,4450,3,1
2016,IND,Média Renda,6940,2,1
2012,IND,Média Renda,5460,6,1
2000,IRL,Média Renda,53744,1,1
1992,IRL,Média Renda,30784,2,1
1996,IRL,Média Renda,38502,4,1
2016,IRQ,Média Renda,15016,0,1
2004,IRQ,Média Renda,10210,0,1
1992,IRQ,Média Renda,4916,0,1
2008,IRQ,Média Renda,11511,0,1
1996,IRQ,Média Renda,6419,0,1
2012,IRQ,Média Renda,13357,0,1
2000,IRQ,Média Renda,12702,0,1
2000,ISL,Média Renda,47771,1,1
2004,ISL,Média Renda,52971,0,1
1992,ISL,Média Renda,37753,0,1
1996,ISL,Média Renda,40275,0,1
2000,ISR,Média Renda,33275,1,1
2016,ISR,Média Renda,41963,2,1
1996,ISR,Média Renda,30386,1,1
2008,ISR,Média Renda,36827,1,1
1992,ISR,Média Renda,26752,2,1
2004,ISR,Média Renda,32675,2,1
2012,ISR,Média Renda,39299,0,1
1992,ITA,Média Renda,43614,44,1
2000,ITA,Média Renda,50353,65,1
1996,ITA,Média Renda,46008,70,1
2004,ITA,Média Renda,51495,102,1
2012,ITA,Média Renda,47795,65,1
2016,ITA,Média Renda,47987,71,1
2008,ITA,Média Renda,51806,42,1
2008,JAM,Média Renda,10328,14,1
1992,JAM,Média Renda,9171,4,1
1996,JAM,Média Renda,9990,16,1
2000,JAM,Média Renda,9518,22,1
2012,JAM,Média Renda,9676,25,1
2016,JAM,Média Renda,9886,30,1
2004,JAM,Média Renda,10085,13,1
1992,JOR,Média Renda,7737,0,1
1996,JOR,Média Renda,7731,0,1
2008,JOR,Média Renda,10641,0,1
2000,JOR,Média Renda,8086,0,1
2004,JOR,Média Renda,9326,0,1
2016,JOR,Média Renda,9321,1,1
2012,JOR,Média Renda,11086,0,1
2004,JPN,Média Renda,40351,92,1
1992,JPN,Média Renda,36563,45,1
2000,JPN,Média Renda,39005,44,1
2012,JPN,Média Renda,41596,83,1
1996,JPN,Média Renda,38528,41,1
2016,JPN,Média Renda,43736,63,1
2008,JPN,Média Renda,41645,50,1
2012,KAZ,Média Renda,28881,13,1
2008,KAZ,Média Renda,24895,13,1
2000,KAZ,Média Renda,12935,7,1
2004,KAZ,Média Renda,18886,8,1
2016,KAZ,Média Renda,30758,18,1
1996,KAZ,Média Renda,10857,11,1
2000,KEN,Média Renda,3756,7,1
1992,KEN,Média Renda,3946,8,1
2008,KEN,Média Renda,4002,15,1
