ano,delegacao,nivel_renda,media_gdp,total_medalhas,qtd_paises
2012,TUR,Média Renda,22181,5,1
2000,TUR,Média Renda,14737,5,1
2016,TUR,Média Renda,26246,8,1
1996,TUR,Média Renda,13657,6,1
1992,TUR,Média Renda,12273,6,1
2004,TUR,Média Renda,16376,11,1
2008,TUV,Média Renda,3933,0,1
2016,TUV,Média Renda,4333,0,1
2016,UKR,Média Renda,15856,15,1
1996,UKR,Média Renda,9969,34,1
2008,UKR,Média Renda,18883,31,1
2000,UKR,Média Renda,10364,35,1
2004,UKR,Média Renda,15021,46,1
2012,UKR,Média Renda,17848,26,1
1996,USA,Média Renda,48435,254,1
1992,USA,Média Renda,44659,220,1
2008,UZB,Média Renda,5115,6,1
2012,UZB,Média Renda,6435,3,1
2004,UZB,Média Renda,3939,5,1
2016,UZB,Média Renda,7839,13,1
