Ano-Calendário;Tipo de Formulário;Faixa de Rendimento;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;Simplificado;Até 22.847,76;6849881;108561,6193;27608,06854;228805,9275;0;0;0;0;0;0;0;0;0;0;0;0;21712,31181;86849,30752;1,27281073;0;1,27281073;103,0266732;103,0266733;900,4332137;6,33239737;809,3924429;131662,5482;20978,17614;1705102,056;12133,21754;243,7425646;13,27931471;73,59778935;1367,834543;5390,181054;415,8277532;64,48117616;1142,225692;64,81685214;2142,335878;6538,18529
2020;Simplificado;De 22.847,77 até 33.919,80;4618345;160826,5593;18433,96801;58913,9937;0;0;0;0;0;0;0;0;0;0;0;0;32165,29549;128661,2638;1735,904417;0;1735,904417;31,21676123;1766,888161;3138,120038;338,3736501;1733,669594;48317,07248;4874,237084;613491,2003;3287,904107;99,96835455;5,4822707;38,51449806;662,724392;2120,2868;50,84453461;7,47023941;516,1210833;17,55984635;1064,361905;1903,787744
2020;Simplificado;De 33.919,81 até 45.012,60;2565496;124972,3661;14820,96603;42233,39566;0;0;0;0;0;0;0;0;0;0;0;0;24994,4637;99977,90243;4074,381577;0;4074,381577;35,81562636;4109,711211;5056,672709;831,1692194;1826,469253;37798,41828;3881,857713;453020,3075;3468,353984;103,8544299;6,23953939;42,24937959;676,486727;2211,558879;38,6727837;4,44644556;444,0745574;24,5297447;922,8424125;1778,075411
2020;Simplificado;De 45.012,61 até 55.976,16;1569698;98266,86849;11926,82999;32323,54974;0;0;0;0;0;0;0;0;0;0;0;0;19653,36783;78613,50066;5706,218169;0;5706,218169;38,28577865;5744,010948;6207,653581;1139,318399;1665,701611;30320,24562;2968,960662;357350,7606;2596,900639;104,1248673;6,81280626;44,34589005;620,8865938;2106,590971;33,46405817;4,22941392;392,099139;19,47861835;749,7499775;1395,009351
2020;Simplificado;Acima de 55.976,16;3127877;359641,2826;57048,41653;157904,77;0;0;0;0;0;0;0;0;0;0;0;0;50808,37616;308832,9065;52301,05318;0;52301,05318;147,4256169;52445,446;43575,00194;10479,37882;3396,259776;139108,8995;15967,24379;1805764,745;15486,47871;586,8964515;61,88584969;251,7355181;2110,809717;6304,834852;68,97209457;10,89433634;1610,323564;142,5780555;4077,843073;10949,68862
2019;Completo + Simplificado;Até 22.847,76;10691519;189700,8579;64211,28997;439339,8261;5974,004915;5702,826628;7,47559289;263,7026937;6204,425825;2378,648731;12867,03421;1571,298301;2066,865181;1819,366898;240,0250652;7,47321776;22308,61908;136329,9617;3,63425438;0,00008715;3,63416723;228,772311;231,8751898;2506,200938;19,33149955;2300,401137;213576,7299;65917,23413;3251729,927;23070,99705;803,9038219;13,3404205;242,3167169;7384,981027;22447,69475;2921,815786;437,6686047;2519,476615;122,0516021;5018,185908;13775,53575
2019;Completo + Simplificado;De 22.847,77 até 33.919,80;6778426;255478,8906;30870,65859;91692,73169;9953,947389;9489,838761;7,15254599;456,9560822;8487,74106;4110,690156;12042,17672;1380,272143;1922,872187;1734,816312;185,1027326;2,95314207;29196,63517;188384,5558;2517,918139;0,20902637;2517,709113;61,25214068;2578,755192;5740,337348;438,5171283;3624,96313;73939,53088;6922,420163;938551,5873;6381,626487;491,4126296;9,03305916;197,9542914;8053,416678;14090,06502;1784,024235;192,2490831;877,4036841;34,65708271;1953,707225;2857,088218
2019;Completo + Simplificado;De 33.919,81 até 45.012,60;3781539;197811,7871;25370,12723;65973,74703;8030,226042;7509,390422;4,87131876;515,9643005;4903,427597;3040,405984;9333,291687;1097,953795;1488,375745;1341,061676;145,3718026;1,94226676;22510,8844;147407,2219;6015,625674;0,91884644;6014,706827;56,17815359;6070,714632;8774,531533;1029,480126;3783,635611;79449,53017;5698,039614;722575,4002;4958,641442;550,5463482;11,20130051;203,4553695;6596,074848;11505,26976;1379,957536;154,5957676;716,0207014;29,56956055;1695,221432;2401,7952
2019;Completo + Simplificado;De 45.012,61 até 55.976,16;2345622;156281,223;21209,78609;55463,42281;6151,640526;5640,574257;4,33353544;506,7327334;2997,365573;2226,597535;7143,910768;909,0465647;1172,66679;1054,830217;116,5156483;1,32092525;18162,86675;117517,1285;8540,396412;1,67511509;8538,721297;54,90111237;8593,345271;10445,13493;1420,137925;3337,476973;48693,33659;4366,013723;674123,1115;4626,550208;538,7449071;12,91053433;195,7816646;5251,381982;9246,552801;1091,059686;120,623402;598,0578816;26,26232768;1383,223364;1932,630067
2019;Completo + Simplificado;Acima de 55.976,16;6901398;1113928,936;192516,4367;384523,6967;62710,19073;47914,71152;41,01941493;14754,4598;11090,80569;9635,431769;50327,87824;14985,93341;8983,941542;7920,373119;1057,602135;5,9662882;48130,03992;908064,7147;177746,9787;234,1458489;177512,8328;689,8748917;178201,4929;171237,3641;19193,45397;13795,71189;339928,2554;42764,52824;4841237,696;46877,9891;13041,98165;760,0564004;3295,050669;32492,35193;58239,95227;8025,361721;1075,642099;4703,606437;189,9261514;13588,70039;32622,04163
